,ID,年齢,性別,都道府県,年収(下限),年収(上限),学歴,大学,学部,卒業,英語,DS経験年数,コアスキル
0,BU2388951,40,男性,神奈川県,2000,3000,大学院卒（博士）,筑波大学,理工情報生命学術院システム情報工学研究群社会工学学位プログラム ,2021年3月,なし,10,数理最適化#機械学習#自然言語処理#確率統計#データ活用#Python#R#SQL
1,BU0035172,48,男性,東京都,750,1000,大学院卒（MBA）,筑波大学,ビジネス科学研究科経営システム科学専攻 ,2011年3月,ビジネス会話レベル,0,デジタルマーケティングにおける企画の立案・実施した経験#データ分析に基づく知見を元にサービスの売上・利益を改善する戦略を提案した経験#統計分析，機械学習に関する知識#ソフトウェア開発・プログラミング
2,BU2665174,31,男性,北海道,500,600,大学院卒（博士）,東北大学大学院,工学研究科 知能デバイス材料学専攻（博士課程）,2019年3月,日常会話レベル,1,"自然言語処理、 機械学習#BIツール（ Tableau, PowerBI ）を活用したデータ集計と可視化#python, Javascript, C, fortran, Julia, Shell Script, SQL#MongoDB, BigQuery, GCP#統計処理、 数理シミュレーション、 数学的アプローチ"
3,BU2170460,42,男性,東京都,600,750,大学卒,名古屋工業大学,機械工学科 ,2003年3月,なし,6,数学#統計学#プログラミング（C/C++、R言語、VB）#研究開発#データ処理#Linux#C/C++#SQL#SSH#Windows#WindowsServer#ＶＬＡＮ#VMware#VPN#データベース設計#トラブルシューティング#データ処理#仮想化
4,BU2715381,40,女性,神奈川県,600,750,大学卒,学習院女子大学,,,ビジネス会話レベル,2,"SAS / データの加工、集計、マクロ作成、マクロ整形#SQL / データの加工、集計#Python / DataCamp 有料版 Data Scientist Course修了予定#医療統計#SPSS Modeler, Spotfire"
5,BU2560290,46,女性,東京都,750,1000,大学院卒（修士）,北海道大学大学院,理学研究院数学部門 解析学専攻,,基礎会話レベル,8,"Strategic Planning#Business Strategy#Start up specialist#Consulting#Leadership and Management#Marketing and Social Media#Sales#Bioinformatics#Data Science#Computer Science#SQL#MATHLAB, Python"
6,BU1798620,33,男性,東京都,1500,2000,大学院卒（修士）,東京大学, ,2013年3月,日常会話レベル,6,"コンサルティング#マネージメント#分析#プログラミング（Python, SQL）#データ活用支援#ビジネスデータ分析"
7,BU4011848,46,男性,埼玉県,750,1000,大学卒,東京学芸大学,教育学部 教育情報,,なし,5,R#統計学#因果推論#機械学習#Webエンジニア経験#ビックデータ解析#Java#Oracle Data Base#Pythonプログラミング#Google BigQuery
8,BU2263158,26,男性,東京都,500,600,大学卒,東京大学,経済学部経済学科 ,2019年3月,ネイティブレベル,1,未来洞察#ファシリテーション#コンサルティング#プログラミング#データ分析#AI#Python#R#SQL#C
9,BU4355670,26,男性,埼玉県,500,500,高校卒,兵庫県立龍野高校, ,2014年3月,日常会話レベル,3,データ分析#データ前処理#講師#機械学習#Python
10,BU1310877,33,男性,東京都,1500,2000,大学卒,早稲田大学,基幹理工学部 機械科学・航空学科,2013年3月,ビジネス会話レベル,0,仮説検証#データサイエンス#機械学習#AI#戦略立案#構想策定#物流業務の設計
